Date,Open,High,Low,Close,Adj Close,Volume
08-mai-19,89.639999,90.830002,88.300003,89.199997,80.034126,759300
08-juin-19,90.050003,91.279999,88.800003,91.139999,81.774780,439100
08-juil.-19,89.730003,91.440002,88.769997,91.139999,81.774780,359900
08-août-19,91.480003,93.739998,91.110001,92.370003,82.878387,619400
08-sept.-19,91.330002,91.959999,90.279999,91.419998,82.026016,386900
08-déc.-19,90.500000,90.629997,88.519997,89.199997,80.034126,234000
13-août-19,88.410004,92.580002,88.410004,89.559998,80.357140,782800
14-août-19,87.709999,87.709999,83.650002,83.760002,75.153130,731500
15-août-19,84.000000,84.000000,81.000000,81.110001,72.775429,828100
16-août-19,81.889999,84.000000,77.580002,79.910004,71.698730,1647900
19-août-19,81.459999,82.860001,80.980003,82.099998,73.663719,1111000
20-août-19,82.050003,82.120003,80.900002,81.839996,73.430420,563500
21-août-19,83.220001,84.160004,82.559998,82.970001,74.444305,485700
22-août-19,83.000000,83.800003,81.699997,82.550003,74.067459,406400
23-août-19,81.500000,81.500000,77.050003,77.550003,69.581238,745700
26-août-19,78.769997,79.900002,77.580002,78.989998,70.873260,465100
27-août-19,79.839996,79.900002,77.290001,77.750000,69.760681,418800
28-août-19,77.269997,80.080002,77.269997,79.150002,71.016823,378900
29-août-19,80.430000,82.500000,80.430000,81.940002,73.520149,607500
30-août-19,82.239998,82.739998,81.269997,82.019997,74.143890,398400
09-mars-19,81.000000,81.480003,79.000000,80.010002,72.326912,562200
09-avr.-19,81.360001,81.440002,79.750000,80.070000,72.381134,928200
09-mai-19,81.669998,84.580002,81.610001,83.349998,75.346169,1539500
09-juin-19,83.320000,83.519997,78.250000,80.750000,72.995834,2288100
09-sept.-19,81.099998,86.309998,80.739998,86.019997,77.759773,877200
09-oct.-19,86.199997,87.760002,85.300003,87.610001,79.197105,810100
09-nov.-19,88.000000,89.680000,85.529999,89.580002,80.977936,987200
09-déc.-19,89.489998,91.400002,87.900002,90.059998,81.411842,840500
13-sept.-19,90.529999,92.510002,89.599998,90.989998,82.252533,626800
